Cuota	Pago Mensual	Intereses	Capital	Saldo Restante
1	16251.22	4375.00	11876.22	488123.78
2	16251.22	4271.08	11980.14	476143.64
3	16251.22	4166.26	12084.96	464058.67
4	16251.22	4060.51	12190.71	451867.97
5	16251.22	3953.84	12297.38	439570.59
6	16251.22	3846.24	12404.98	427165.61
7	16251.22	3737.70	12513.52	414652.09
8	16251.22	3628.21	12623.02	402029.07
9	16251.22	3517.75	12733.47	389295.60
10	16251.22	3406.34	12844.89	376450.72
11	16251.22	3293.94	12957.28	363493.44
12	16251.22	3180.57	13070.65	350422.79
13	16251.22	3066.20	13185.02	337237.76
14	16251.22	2950.83	13300.39	323937.37
15	16251.22	2834.45	13416.77	310520.60
16	16251.22	2717.06	13534.17	296986.44
17	16251.22	2598.63	13652.59	283333.85
18	16251.22	2479.17	13772.05	269561.80
19	16251.22	2358.67	13892.56	255669.24
20	16251.22	2237.11	14014.12	241655.12
21	16251.22	2114.48	14136.74	227518.38
22	16251.22	1990.79	14260.44	213257.95
23	16251.22	1866.01	14385.21	198872.73
24	16251.22	1740.14	14511.09	184361.65
25	16251.22	1613.16	14638.06	169723.59
26	16251.22	1485.08	14766.14	154957.45
27	16251.22	1355.88	14895.34	140062.11
28	16251.22	1225.54	15025.68	125036.43
29	16251.22	1094.07	15157.15	109879.28
30	16251.22	961.44	15289.78	94589.50
31	16251.22	827.66	15423.56	79165.93
32	16251.22	692.70	15558.52	63607.41
33	16251.22	556.56	15694.66	47912.76
34	16251.22	419.24	15831.99	32080.77
35	16251.22	280.71	15970.51	16110.26
36	16251.22	140.96	16110.26	0.00
Total de intereses pagados: 85043.98
